AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"SLINGELAND, Pieter Cornelisz. van","(b. 1640, Leiden, d. 1691, Leiden)",The Violist,-,"Oil on panel, 29 x 22 cm","Brukenthal Museum, Sibiu",http://www.wga.hu/html/s/slingela/violist.html,painting,portrait,Dutch,1651-1700
"SLINGELAND, Pieter Cornelisz. van","(b. 1640, Leiden, d. 1691, Leiden)",Woman by Candlelight,-,"Oil on panel, 32 x 27 cm","Museum Bredius, The Hague",http://www.wga.hu/html/s/slingela/woman_cl.html,painting,portrait,Dutch,1651-1700
"SMART, John","(b. 1741, Norfolk, d. 1811, London)",A Lady,1782,"Watercolour on ivory, 5,1 x 4,1 cm","Art Museum, Cincinnati",http://www.wga.hu/html/s/smart/lady.html,painting,portrait,English,1751-1800
"SMART, John","(b. 1741, Norfolk, d. 1811, London)",Portrait of a Man,1779,"Watercolour and gouache on ivory, 49 x 38 mm",Private collection,http://www.wga.hu/html/s/smart/port_man.html,painting,portrait,English,1751-1800
"SMART, John","(b. 1741, Norfolk, d. 1811, London)",William Henry West Betty,1806,"Watercolour on ivory, 12,2 x 10,3 cm","Art Museum, Cincinnati",http://www.wga.hu/html/s/smart/betty.html,painting,portrait,English,1751-1800
"SOEST, Gerard","(b. ca. 1600, d. 1681, London)",Portrait of a Man,1670-75,"Oil on canvas, 75 x 63 cm","Fitzwilliam Museum, Cambridge",http://www.wga.hu/html/s/soest/port_man.html,painting,portrait,Dutch,1601-1650
"SOEST, Gerard","(b. ca. 1600, d. 1681, London)",Portrait of a Young Gentleman of the Ashley-Cooper Family,-,"Oil on canvas, 83 x 62 cm",Private collection,http://www.wga.hu/html/s/soest/portgent.html,painting,portrait,Dutch,1601-1650
"SOEST, Gerard","(b. ca. 1600, d. 1681, London)",William Fairfax and His Wife Elizabeth,1645-48,"Oil on canvas, 139 x 175 cm","National Portrait Gallery, London",http://www.wga.hu/html/s/soest/fairfax.html,painting,portrait,Dutch,1601-1650
"SOKOLOV, Pyotr Fyodorovich","(b. 1791, Moscow, d. 1848, Stary Merchik)",Portrait of Natalia Zagriazhskaya,1821,"Watercolour, 230 x 155 mm","The Hermitage, St. Petersburg",http://www.wga.hu/html/s/sokolov/portrait.html,graphics,portrait,Russian,1801-1850
"SOLARIO, Andrea","(b. ca. 1460, Milano, d. 1525, Pavia)",Charles d'Amboise,c. 1507,"Oil on canvas, 75 x 52 cm","Musée du Louvre, Paris",http://www.wga.hu/html/s/solari/andrea/amboise.html,painting,portrait,Italian,1501-1550
"SOLARIO, Andrea","(b. ca. 1460, Milano, d. 1525, Pavia)",Man with a Pink Carnation,c. 1495,"Oil and egg tempera on poplar, 50 x 39 cm","National Gallery, London",http://www.wga.hu/html/s/solari/andrea/pink.html,painting,portrait,Italian,1501-1550
"SOLARIO, Andrea","(b. ca. 1460, Milano, d. 1525, Pavia)",Portrait of a Man,c. 1497,"Oil on wood, 48 x 38 cm","Museum of Fine Arts, Boston",http://www.wga.hu/html/s/solari/andrea/portrait.html,painting,portrait,Italian,1501-1550
"SOLARIO, Andrea","(b. ca. 1460, Milano, d. 1525, Pavia)",Portrait of a Man,c. 1500,"Panel, 42 x 32 cm","Pinacoteca di Brera, Milan",http://www.wga.hu/html/s/solari/andrea/port_man.html,painting,portrait,Italian,1501-1550
"SOLARIO, Andrea","(b. ca. 1460, Milano, d. 1525, Pavia)",Portrait of a Young Man,after 1490,"Oil on panel, 31 x 28 cm","Museo Thyssen-Bornemisza, Madrid",http://www.wga.hu/html/s/solari/andrea/portra_y.html,painting,portrait,Italian,1501-1550
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Agrippa,-,"Bronze, red-gold lacquer patina, height 63 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust1.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Augustus,-,"Bronze, red-gold lacquer patina, height 62 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust4.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Cicero,-,"Bronze, red-gold lacquer patina, height 60 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust5.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Faustina the Younger,1695,"Bronze, red-gold lacquer patina, height 58 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust7.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Hadrian,-,"Bronze, red-gold lacquer patina, height 68 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust2.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Marcus Aurelius as a Boy,1707-12,"Bronze, red-gold lacquer patina, height 36 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust8.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Seneca,-,"Bronze, red-gold lacquer patina, height 60 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust6.html,sculpture,portrait,Italian,1651-1700
"SOLDANI BENZI, Massimiliano","(b. 1656, Firenze, d. 1740, Montevarchi)",Bust of Vitellius,-,"Bronze, red-gold lacquer patina, height 59 cm (with socle)","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/soldani/bust3.html,sculpture,portrait,Italian,1651-1700
"SOLDI, Andrea","(b. ca. 1703, Firenze, d. 1771, London)",Portrait of a Merchant of the Levant Company,1735,"Oil on copper, 19 x 15 cm",Private collection,http://www.wga.hu/html/s/soldi/merchant.html,painting,portrait,Italian,1701-1750
"SOLIMENA, Francesco","(b. 1657, Canale di Serino, d. 1747, Barra)",Portrait of Charles III of Habsburg,c. 1707,"Oil on canvas, 188 x 127 cm",Private collection,http://www.wga.hu/html/s/solimena/1/charles3.html,painting,portrait,Italian,1701-1750
"SOLIMENA, Francesco","(b. 1657, Canale di Serino, d. 1747, Barra)",Portrait of Prince Joseph Wenzel von Liechtenstein,c. 1720,"Oil on canvas, 126 x 101 cm","Liechtenstein Museum, Vienna",http://www.wga.hu/html/s/solimena/1/portrait.html,painting,portrait,Italian,1701-1750
"SOMER, Paulus van","(b. ca. 1576, Antwerpen, d. 1621, London)",King James I of England,-,"Oil on canvas, 196 x 120 cm","Museo del Prado, Madrid",http://www.wga.hu/html/s/somer/james_1.html,painting,portrait,Flemish,1601-1650
"SOMM, Henry","(b. 1844, Rouen, d. 1907, Paris)",The Red Overcoat,-,Watercolour on paper,"Musée des Beaux-Arts, Rouen",http://www.wga.hu/html/s/somm/overcoat.html,graphics,portrait,French,1851-1900
"SOROLLA Y BASTIDA, Joaquín","(b. 1863, Valencia, d. 1923, Cercedilla)",Elena and Maria in Old-Fashioned Valencian Costume,1908,"Oil on canvas, 255 x 185 cm","Museo de Arte Moderno, Barcelona",http://www.wga.hu/html/s/sorolla/valencia.html,painting,portrait,Spanish,1851-1900
