AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Portrait of Emperor Rudolf II,1590s,"Oil on canvas, 60 x 48 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/aachen/rudolf2.html,painting,portrait,German,1601-1650
"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",Self-Portrait with a Glass of Wine,c. 1596,"Oil on canvas, 53 x 44 cm",Private collection,http://www.wga.hu/html/a/aachen/selfport.html,painting,portrait,German,1601-1650
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Portrait of a Woman,1865-66,"Oil on panel, 26 x 14 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",http://www.wga.hu/html/a/abbati/abbati4.html,painting,portrait,Italian,1851-1900
"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",Medallion Portrait of Emperor Maximilian II,c. 1575,Wax on obsidian,"Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/abondio/maximili.html,sculpture,portrait,Italian,1551-1600
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Self-portrait,c. 1740,Drawing,"Ashmolean Museum, Oxford",http://www.wga.hu/html/a/adam/lambert/selfport.html,graphics,portrait,French,1701-1750
"ADLER, Salomon","(b. 1630, Danzig, d. 1709, Milano)",Self-Portrait,1650s,"Oil on canvas, 74 x 60 cm",Private collection,http://www.wga.hu/html/a/adler/selfport.html,painting,portrait,German,1651-1700
"AKEN, Joseph van","(b. ca. 1699, Antwerpen, d. 1749, London)",The Van Aken Brothers,-,"Oil on canvas, 89 x 125 cm",Private collection,http://www.wga.hu/html/a/aken/brothers.html,painting,portrait,Flemish,1701-1750
"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",Self-Portrait,c. 1435,"Bronze, height 20 cm","National Gallery of Art, Washington",http://www.wga.hu/html/a/alberti/selfport.html,sculpture,portrait,Italian,1401-1450
"ALCIBAR, José de","(b. 1725/30, Mexico, d. 1803, Mexico)",Portrait of María Anna Josefa Taking Vow,1793,"Oil on canvas, 103,5 x 83,5 cm","Szépm?vészeti Múzeum, Budapest",http://www.wga.hu/html/a/alcibar/v_josefa.html,painting,portrait,Other,1751-1800
"ALENZA Y NIETO, Leonardo","(b. 1807, Madrid, d. 1845, Madrid)",Portrait of an Architect,1825-30,"Oil on canvas, 79 x 67 cm",Private collection,http://www.wga.hu/html/a/alenza/portrait.html,painting,portrait,Spanish,1801-1850
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Bishop Ulpiano Volpi,1640s,"Bronze, height 58 cm","Museo Poldi Pezzoli, Milan",http://www.wga.hu/html/a/algardi/1/b_volpi.html,sculpture,portrait,Italian,1601-1650
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Cardinal Giovanni Garzia Mellini,1637-38,"Marble, life-size","Santa Maria del Popolo, Rome",http://www.wga.hu/html/a/algardi/1/mellini.html,sculpture,portrait,Italian,1601-1650
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Donna Olimpia Maidalchini,1646-47,"Marble, height 70 cm","Galleria Doria Pamphilj, Rome",http://www.wga.hu/html/a/algardi/1/olimpia.html,sculpture,portrait,Italian,1601-1650
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Donna Olimpia Maidalchini,1646-47,"Marble, height 70 cm","Galleria Doria Pamphilj, Rome",http://www.wga.hu/html/a/algardi/1/olimpia1.html,sculpture,portrait,Italian,1601-1650
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Monsignor Antonio Cerri,c. 1637,"Marble, height 85,5 cm","City Art Gallery, Manchester",http://www.wga.hu/html/a/algardi/1/cerri.html,sculpture,portrait,Italian,1601-1650
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Bust of Pope Innocent X,-,Marble,"Galleria Doria Pamphilj, Rome",http://www.wga.hu/html/a/algardi/1/innocent.html,sculpture,portrait,Italian,1601-1650
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",Laudivio Zacchia,1626,Marble,"Staatliche Museen, Berlin",http://www.wga.hu/html/a/algardi/1/zacchia.html,sculpture,portrait,Italian,1601-1650
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)","Portrait of Bianca Cappello, Second Wife of Francesco I de' Medici",c. 1580,"Fresco, 75 x 52 cm","Galleria degli Uffizi, Florence",http://www.wga.hu/html/a/allori/alessand/portrai3.html,painting,portrait,Italian,1551-1600
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",Portrait of a Noble Woman,-,"Oil on canvas, 106 x 76 cm",Private collection,http://www.wga.hu/html/a/allori/alessand/portrai2.html,painting,portrait,Italian,1551-1600
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",Portrait of a Woman,1570-90,"Oil on copper, 37 x 27 cm","Galleria degli Uffizi, Florence",http://www.wga.hu/html/a/allori/alessand/portra1.html,painting,portrait,Italian,1551-1600
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",Portrait of a Young Man,-,"Oil on canvas transferred from wood, 117 x 87,5 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/a/allori/alessand/portrait.html,painting,portrait,Italian,1551-1600
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",Portrait of Francesco I de' Medici,c. 1558,"Oil on lead with gold leaf, diameter 7 cm",Private collection,http://www.wga.hu/html/a/allori/alessand/portrai4.html,painting,portrait,Italian,1551-1600
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",Portrait of Tommaso de' Bardi,1558-60,"Oil on panel, 105 x 83 cm",Private collection,http://www.wga.hu/html/a/allori/alessand/portrai5.html,painting,portrait,Italian,1551-1600
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Portrait of a Woman,c. 1522,"Oil on panel, 59 x 45 cm","Museo Thyssen-Bornemisza, Madrid",http://www.wga.hu/html/a/altdorfe/2/12portra.html,painting,portrait,German,1501-1550
"ALTISSIMO, Cristofano dell'","(b. ca. 1530, d. 1605, Firenze)","Alchitrof, Emperor of Ethiopia",1568,"Oil on wood, 59 x 42 cm","Galleria degli Uffizi, Florence",http://www.wga.hu/html/a/altissim/alchitro.html,painting,portrait,Italian,1551-1600
"ALTISSIMO, Cristofano dell'","(b. ca. 1530, d. 1605, Firenze)",Portrait of Christopher Columbus,1556,"Oil on canvas, 59 x 42 cm","Galleria degli Uffizi, Florence",http://www.wga.hu/html/a/altissim/columbus.html,painting,portrait,Italian,1551-1600
"ÁLVAREZ Y CUBERO, José","(b. 1768, Priego de Córdoba, d. 1827, Madrid)","Isabel de Braganza, Queen of Spain",1826,"Marble, height 145 cm","Museo del Prado, Madrid",http://www.wga.hu/html/a/alvarez/isabel.html,sculpture,portrait,Spanish,1801-1850
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Christoph Fugger,1541,"Wood, 97 x 80 cm","Alte Pinakothek, Munich",http://www.wga.hu/html/a/amberger/fugger.html,painting,portrait,German,1501-1550
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Goldsmith Jörg Zürer of Augsburg,1531,"Oil on panel, 78 x 51 cm","Museo del Prado, Madrid",http://www.wga.hu/html/a/amberger/goldsmit.html,painting,portrait,German,1501-1550
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Portrait of a Young Man,after 1548,"Oil on wood, 51 x 43 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/a/amberger/youngman.html,painting,portrait,German,1501-1550
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Portrait of a Young Woman,after 1548,"Oil on wood, 51 x 43 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/a/amberger/youngwom.html,painting,portrait,German,1501-1550
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Portrait of Felicitas Seiler,1537,"Wood, 90 x 80 cm","Alte Pinakothek, Munich",http://www.wga.hu/html/a/amberger/seiler.html,painting,portrait,German,1501-1550
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Portrait of Matthäus Schwarz,1542,"Oil on panel, 74 x 61 cm","Museo Thyssen-Bornemisza, Madrid",http://www.wga.hu/html/a/amberger/schwarz.html,painting,portrait,German,1501-1550
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Portrait of the Cosmographer Sebastien Münster,c. 1552,"Oil on wood, 54 x 42 cm","Staatliche Museen, Berlin",http://www.wga.hu/html/a/amberger/munster.html,painting,portrait,German,1501-1550
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Countess Nákó,1855,"Oil on canvas, 127 x 106 cm","Szépm?vészeti Múzeum, Budapest",http://www.wga.hu/html/a/amerling/nako.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Emperor Franz I of Austria in his Coronation Robes,1832,"Oil on canvas, 260 x 175 cm","Schönbrunn Palace, Vienna",http://www.wga.hu/html/a/amerling/franz_1.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Girl in Yellow Hat,1835,"Oil on canvas, 58 x 47 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/amerling/girlyell.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Likeness of a Girl,c. 1837,"Oil on canvas, 64 x 51 cm","Residenzgalerie, Salzburg",http://www.wga.hu/html/a/amerling/girl.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Maiden with a Straw Hat,c. 1835,"Oil on canvas, 59 x 47 cm","Neue Pinakothek, Munich",http://www.wga.hu/html/a/amerling/girlyel.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Portrait of a Young Girl,1837,"Oil on panel, 52 x 43 cm",Private collection,http://www.wga.hu/html/a/amerling/girlport.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Portrait of Count István Széchenyi,1836,"Oil on canvas, 250 x 165 cm","Hungarian Academy of Sciences, Budapest",http://www.wga.hu/html/a/amerling/szecheny.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Portrait of Princess Marie Franziska von Liechtenstein Aged Two,1836,Oil on canvas,"Liechtenstein Museum, Vienna",http://www.wga.hu/html/a/amerling/princess.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Rudolf von Arthaber with his Children,-,"Oil on canvas, 155 x 221 cm","Österreichische Galerie Belvedere, Vienna",http://www.wga.hu/html/a/amerling/arthaber.html,painting,portrait,Austrian,1801-1850
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",Self-Portrait,1834,"Oil on canvas, 51 x 42 cm","Residenzgalerie, Salzburg",http://www.wga.hu/html/a/amerling/selfport.html,painting,portrait,Austrian,1801-1850
"AMIGONI, Jacopo","(b. 1682, Napoli, d. 1752, Madrid)",Portrait of a Gentlemen in Blue Jacket,-,"Oil on canvas, 127 x 102 cm",Private collection,http://www.wga.hu/html/a/amigoni/gentlema.html,painting,portrait,Italian,1701-1750
"AMIGONI, Jacopo","(b. 1682, Napoli, d. 1752, Madrid)",Portrait of a Lady,-,"Oil on canvas, 129 x 102 cm",Private collection,http://www.wga.hu/html/a/amigoni/portlady.html,painting,portrait,Italian,1701-1750
"ANCHER, Anna Kirstine","(b. 1859, Skagen, d. 1935, Skagen)","The Artist's Mother, Anna Hedvig Br?ndum",1913,"Oil on canvas, 79 x 63 cm","Skagens Museum, Skagen",http://www.wga.hu/html/a/ancher/mother.html,painting,portrait,Danish,1851-1900
"ANCONA, Vito d'","(b. 1825, Pesaro, d. 1884, Firenze)",Portrait of Gioacchino Rossini,1874,"Oil on canvas, 85 x 66 cm","Galleria Palatina (Palazzo Pitti), Florence",http://www.wga.hu/html/a/ancona/rossini.html,painting,portrait,Italian,1851-1900
"ANDERSON, William","(b. 1757, Scotland, d. 1837, London)",Self-Portrait,c. 1800,"Oil on canvas, 61 x 54 cm","National Maritime Museum, Greenwich",http://www.wga.hu/html/a/anderson/selfport.html,painting,portrait,Scottish,1801-1850
"ÁNGEL, Pedro",(active 1583-1617 in Toledo),Jerónimo de Cevallos,1613,"Engraving, 135 x 215 mm","Biblioteca Nacional, Madrid",http://www.wga.hu/html/a/angel/ceballos.html,graphics,portrait,Spanish,1601-1650
"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Head of a Cleric,c. 1448,"Metalpoint on prepared ochre surface, heightened with white, 189 x 173 mm","Royal Library, Windsor",http://www.wga.hu/html/a/angelico/14/7metalpo.html,graphics,portrait,Italian,1401-1450
"ANGUISSOLA, Lucia","(b. 1538, Cremona, d. 1565, Cremona)",Portrait of Sofonisba Anguissola,1560-65,"Oil on panel, 12 x 9 cm (oval)",Private collection,http://www.wga.hu/html/a/anguisso/lucia/sofonisb.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Lucia","(b. 1538, Cremona, d. 1565, Cremona)",Self-Portrait,1557,"Oil on panel, 28 x 20 cm","Castello Sforzesco, Milan",http://www.wga.hu/html/a/anguisso/lucia/selfport.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Bernardino Campi Painting Sofonisba Anguissola,c. 1559,"Oil on canvas, 111 x 110 cm","Pinacoteca Nazionale, Siena",http://www.wga.hu/html/a/anguisso/sofonisb/campipai.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Portrait of a Nun,1551,"Oil on canvas, 169 x 53 cm","City Art Gallery, Southampton",http://www.wga.hu/html/a/anguisso/sofonisb/port_nun.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Portrait of Minerva Anguissola,-,"Oil on canvas, 36 x 29 cm","Pinacoteca di Brera, Milan",http://www.wga.hu/html/a/anguisso/sofonisb/minerva.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Portrait of the Artist's Sisters Playing Chess,1555,"Oil on canvas, 72 x 97 cm","Muzeum Narodowe, Poznan",http://www.wga.hu/html/a/anguisso/sofonisb/chess.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Profile Portrait of a Young Woman,-,"Oil on canvas, 68,5 x 52,5 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/a/anguisso/sofonisb/profport.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Self-Portrait at the Easel,c. 1556,"Oil on canvas, 66 x 57 cm","Muzeum-Zamek, Lancut",http://www.wga.hu/html/a/anguisso/sofonisb/selfease.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Self-Portrait Playing the Spinet,1556-57,"Oil on canvas, 57 x 48 cm","Museo Nazionale di Capodimonte, Naples",http://www.wga.hu/html/a/anguisso/sofonisb/selfspin.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Self-Portrait,1550s,"Oil on canvas, 45 x 34 cm","Museo Poldi Pezzoli, Milan",http://www.wga.hu/html/a/anguisso/sofonisb/s_portra.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Self-Portrait,1554,"Oil on panel, 20 x 13 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/anguisso/sofonisb/selfport.html,painting,portrait,Italian,1551-1600
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",Self-Portrait,c. 1556,"Oil on parchment, 8,3 x 6,4 cm","Museum of Fine Arts, Boston",http://www.wga.hu/html/a/anguisso/sofonisb/self_por.html,painting,portrait,Italian,1551-1600
"ANTHONISZ, Cornelis","(b. ca. 1499, Amsterdam, d. ca. 1555, Amsterdam)",Banquet of Members of Amsterdam's Crossbow Civic Guard,1533,"Oil on panel, 130 x 207 cm","Historisch Museum, Amsterdam",http://www.wga.hu/html/a/anthonis/copperco.html,painting,portrait,Dutch,1501-1550
"ANTHONISZ, Cornelis","(b. ca. 1499, Amsterdam, d. ca. 1555, Amsterdam)",Henry VIII of England on Horseback,c. 1538,"Hand-coloured woodcut, 403 x 295 mm","Rijksmuseum, Amsterdam",http://www.wga.hu/html/a/anthonis/henry8.html,painting,portrait,Netherlandish,1501-1550
"ANTROPOV, Aleksey Petrovich","(b. 1716, St. Petersburg, d. 1795, St. Petersburg)",Portrait of Catherine II,-,Oil on canvas,"State Tretyakov Gallery, Moscow",http://www.wga.hu/html/a/antropov/portrai2.html,painting,portrait,Russian,1751-1800
"ANTROPOV, Aleksey Petrovich","(b. 1716, St. Petersburg, d. 1795, St. Petersburg)",Portrait of Catherine II,before 1766,"Oil on canvas, 51 x 38 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/a/antropov/portrai1.html,painting,portrait,Russian,1751-1800
"APPIANI, Andrea","(b. 1754, Milano, d. 1817, Milano)","Portrait of Napoleon, First King of Italy",c. 1805,"Oil on canvas, 98 x 74 cm","Musée Napoléonien, Ile d'Aix",http://www.wga.hu/html/a/appiani/napoleon.html,painting,portrait,Italian,1801-1850
"APPIANI, Andrea","(b. 1754, Milano, d. 1817, Milano)",General Desaix,1800-01,"Oil on canvas, 115 x 88 cm","Musée National du Château, Versailles",http://www.wga.hu/html/a/appiani/desaix.html,painting,portrait,Italian,1801-1850
"ARALDI, Alessandro","(b. ca. 1460, Parma, d. ca. 1530, Parma)",Portrait of Barbara Pallavicino,1510s,"Oil on wood, 46,5 x 35 cm","Galleria degli Uffizi, Florence",http://www.wga.hu/html/a/araldi/pallavic.html,painting,portrait,Italian,1501-1550
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)","Archduchess Anna, Daughter of Emperor Maximilian II",c. 1563,"Oil on wood, 42 x 34 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/2busts6.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)","Maximilian II, His Wife and Three Children (detail)",1563,Oil on canvas,"Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/1family1.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)","Maximilian II, His Wife and Three Children",1563,"Oil on canvas, 240 x 188 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/1family.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Archduchess Johanna,1562-65,"Oil on linden wood, 34 x 26 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/2busts5.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Bust of a Daughter of Ferdinand I,1563-65,"Oil on wood, 33 x 25 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/2busts4.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Bust of a Daughter of Ferdinand I,c. 1563,"Oil on wood, 44 x 34 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/2busts1.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Bust of a Daughter of Ferdinand I,c. 1563,"Oil on wood, 44 x 34 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/2busts2.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Bust of a Daughter of Ferdinand I,c. 1563,"Oil on wood, 44 x 34 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/a/arcimbol/2portrai/2busts3.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Self-Portrait on Paper (detail),1587,"Pencil, pen and ink, wash and warecoloured ink, gray wash on paper","Palazzo Rosso, Genoa",http://www.wga.hu/html/a/arcimbol/8graphic/2self1.html,graphics,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Self-Portrait on Paper,1587,"Pencil, pen and ink, wash and warecoloured ink, gray wash on paper, 442 x 318 mm","Palazzo Rosso, Genoa",http://www.wga.hu/html/a/arcimbol/8graphic/2self.html,graphics,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Self-Portrait,1571-76,"Pen, blue wash, 231 x 157 mm","Národní Galerie, Prague",http://www.wga.hu/html/a/arcimbol/8graphic/1self.html,graphics,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Cook,c. 1570,"Oil on wood, 53 x 41 cm","Nationalmuseum, Stockholm",http://www.wga.hu/html/a/arcimbol/4composi/7cook.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Cook,c. 1570,"Oil on wood, 53 x 41 cm","Nationalmuseum, Stockholm",http://www.wga.hu/html/a/arcimbol/4composi/7cook1.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Jurist (detail),1566,Oil on canvas,"Gripsholm Castle, Mariefred",http://www.wga.hu/html/a/arcimbol/4composi/6jurist1.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Jurist,1566,"Oil on canvas, 64 x 51 cm","Gripsholm Castle, Mariefred",http://www.wga.hu/html/a/arcimbol/4composi/6jurist.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Librarian,c. 1566,"Oil on canvas, 97 x 71 cm","Skoklosters Slott, B?lsta (Stockholm)",http://www.wga.hu/html/a/arcimbol/4composi/5librari.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Vegetable Gardener,1587-90,"Oil on wood, 36 x 24 cm","Museo Civico ""Ala Ponzone"", Cremona",http://www.wga.hu/html/a/arcimbol/4composi/8garden.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Vegetable Gardener,1587-90,"Oil on wood, 36 x 24 cm","Museo Civico ""Ala Ponzone"", Cremona",http://www.wga.hu/html/a/arcimbol/4composi/8garden1.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",The Waiter,1574,"Oil on canvas, 88 x 67 cm",Private collection,http://www.wga.hu/html/a/arcimbol/4composi/4waiter.html,painting,portrait,Italian,1551-1600
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",Two portraits of Rudolf II with crown,1575,"Black pen and ink on paper, 165 x 165 and 155 x 155 mm","Národní Galerie, Prague",http://www.wga.hu/html/a/arcimbol/8graphic/3portrai.html,graphics,portrait,Italian,1551-1600
"ARGUNOV, Ivan Petrovich","(b. 1729, St. Petersburg, d. 1802, Moscow)",Portrait of a Woman in a Blue Dress,1760,"Oil on canvas, 60 x 45 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/a/argunov/port_wom.html,painting,portrait,Russian,1751-1800
"ARGUNOV, Ivan Petrovich","(b. 1729, St. Petersburg, d. 1802, Moscow)",Portrait of an Unknown Peasant,1784,"Oil on canvas, 67 x 54 cm","State Tretyakov Gallery, Moscow",http://www.wga.hu/html/a/argunov/peasant.html,painting,portrait,Russian,1751-1800
"ASCH, Pieter Jansz. van","(b. 1603, Delft, d. 1678, Delft)",Self-portrait,-,"Oil on panel, 52 x 44 cm","Rijksmuseum, Amsterdam",http://www.wga.hu/html/a/asch/selfport.html,painting,portrait,Dutch,1601-1650
"ASPERTINI, Amico","(b. ca. 1475, Bologna, d. 1552, Bologna)",Heroic Head,c. 1496,"Tempera on wood, 37,5 x 36,5 cm","Christian Museum, Esztergom",http://www.wga.hu/html/a/aspertin/heroic.html,painting,portrait,Italian,1501-1550
"ASPERTINI, Amico","(b. ca. 1475, Bologna, d. 1552, Bologna)",Portrait of Tommaso Raimondi,c. 1500,"Oil on panel, 42 x 33 cm","Museo Thyssen-Bornemisza, Madrid",http://www.wga.hu/html/a/aspertin/raimondi.html,painting,portrait,Italian,1501-1550
"ATTIRET, Claude-François","(b. 1728, Dôle, Jura, d. 1804, Dôle)",La Chercheuse d'esprit,1774,Terracotta,"Musée des Beaux-Arts, Dijon",http://www.wga.hu/html/a/attiret/chercheu.html,sculpture,portrait,French,1751-1800
"AUGUSTIN, Jean-Baptiste-Jacques","(b. 1759, Saint-Dié, d. 1832, Paris)",Portrait of a Young Woman in Lilac Dress,c. 1785,"Watercolour and gouache on ivory, diameter 72 mm",Private collection,http://www.wga.hu/html/a/augustin/port_wom.html,painting,portrait,French,1751-1800
"AUGUSTIN, Jean-Baptiste-Jacques","(b. 1759, Saint-Dié, d. 1832, Paris)",Portrait of the Sculptor Callamard,1801,"Miniature on ivory, 20 x 16 cm","Musée du Louvre, Paris",http://www.wga.hu/html/a/augustin/callamar.html,painting,portrait,French,1751-1800
"AVED, Jacques-André-Joseph","(b. 1702, Douai, d. 1766, Paris)",Madame Crozat,1741,Oil on canvas,"Musée Fabre, Montpellier",http://www.wga.hu/html/a/aved/m_crozat.html,painting,portrait,French,1701-1750
"BACKER, Jacob Adriaensz.","(b. 1608, Harlingen, d. 1651, Amsterdam)",Portrait of a Lady,-,"Oil on canvas, 77 x 61 cm",Private collection,http://www.wga.hu/html/b/backer/portlady.html,painting,portrait,Dutch,1601-1650
"BACKER, Jacob Adriaensz.","(b. 1608, Harlingen, d. 1651, Amsterdam)",Portrait of a Woman,-,"Oil on canvas, 128 x 99 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/b/backer/port_wom.html,painting,portrait,Dutch,1601-1650
"BACKER, Jacob Adriaensz.","(b. 1608, Harlingen, d. 1651, Amsterdam)",Portrait of an Old Woman,-,"Oil on wood, 71 x 61 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/b/backer/port_old.html,painting,portrait,Dutch,1601-1650
